genre,,,pop,rock,edm,country,rap,hip,r&b,latin,mellow,TOTAL,,pop,rock,edm,country,rap,hip,r&b,latin,mellow
tropical,14,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0
st louis rap,14,,,,,,1,,,,,14,,0,0,0,0,14,0,0,0,0
conscious hip hop,14,,,,,,,1,,,,14,,0,0,0,0,0,14,0,0,0
puerto rican pop,14,,1,,,,,,,,,14,,14,0,0,0,0,0,0,0,0
oklahoma country,14,,,,,1,,,,,,14,,0,0,0,14,0,0,0,0,0
philly rap,14,,,,,,1,,,,,14,,0,0,0,0,14,0,0,0,0
funk metal,14,,,1,,,,,,,,14,,0,14,0,0,0,0,0,0,0
escape room,13,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0
quiet storm,13,,,,,,,,1,,,13,,0,0,0,0,0,0,13,0,0
filter house,13,,,,1,,,,,,,13,,0,0,13,0,0,0,0,0,0
indie pop,13,,1,,,,,,,,,13,,13,0,0,0,0,0,0,0,0
canadian latin,13,,,,,,,,,1,,13,,0,0,0,0,0,0,0,13,0
modern alternative rock,13,,,1,,,,,,,,13,,0,13,0,0,0,0,0,0,0
complextro,13,,,,1,,,,,,,13,,0,0,13,0,0,0,0,0,0
colombian pop,13,,1,,,,,,,,,13,,13,0,0,0,0,0,0,0,0
new wave pop,12,,1,,,,,,,,,12,,12,0,0,0,0,0,0,0,0
deep pop r&b,12,,1,,,,,,1,,,24,,24,0,0,0,0,0,24,0,0
canadian contemporary r&b,12,,,,,,,,1,,,12,,0,0,0,0,0,0,12,0,0
pinoy hip hop,12,,,,,,,1,,,,12,,0,0,0,0,0,12,0,0,0
german techno,12,,,,1,,,,,,,12,,0,0,12,0,0,0,0,0,0
bass trap,11,,,,,,1,,,,,11,,0,0,0,0,11,0,0,0,0
electronic trap,11,,,,1,,1,,,,,22,,0,0,22,0,22,0,0,0,0
reggae fusion,11,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0
vapor twitch,11,,,,1,,,,,,,11,,0,0,11,0,0,0,0,0,0
rap rock,11,,,1,,,1,,,,,22,,0,22,0,0,22,0,0,0,0
australian pop,11,,1,,,,,,,,,11,,11,0,0,0,0,0,0,0,0
alternative rock,11,,,1,,,,,,,,11,,0,11,0,0,0,0,0,0,0
viral trap,10,,,,,,1,,,,,10,,0,0,0,0,10,0,0,0,0
canadian rock,10,,,1,,,,,,,,10,,0,10,0,0,0,0,0,0,0
progressive electro house,10,,,,1,,,,,,,10,,0,0,10,0,0,0,0,0,0
punk,9,,,1,,,,,,,,9,,0,9,0,0,0,0,0,0,0
baroque pop,9,,0,1,,,,,,,,9,,0,9,0,0,0,0,0,0,0
art pop,9,,1,,,,,,,,,9,,9,0,0,0,0,0,0,0,0
nz pop,9,,1,,,,,,,,,9,,9,0,0,0,0,0,0,0,0
lgbtq+ hip hop,6,,,,,,,1,,,,6,,0,0,0,0,0,6,0,0,0
country rap,6,,,,,1,1,,,,,12,,0,0,0,12,12,0,0,0,0
underground hip hop,4,,,,,,,1,,,,4,,0,0,0,0,0,4,0,0,0
houston rap,2,,,,,,1,,,,,2,,0,0,0,0,2,0,0,0,0
battle rap,2,,,,,,1,,,,,2,,0,0,0,0,2,0,0,0,0
memphis hip hop,1,,,,,,,1,,,,1,,0,0,0,0,0,1,0,0,0
deep southern trap,1,,,,,,1,,,,,1,,0,0,0,0,1,0,0,0,0
motown,1,,,,,,,,1,,,1,,0,0,0,0,0,0,1,0,0
soul,1,,,,,,,,1,,,1,,0,0,0,0,0,0,1,0,0
alternative hip hop,1,,,,,,,1,,,,1,,0,0,0,0,0,1,0,0,0
vapor trap,1,,,,1,,0,,,,,1,,0,0,1,0,0,0,0,0,0
